,Activity_ID,Activity_Name,Activity_Content,Activity_Type,GameType,Ages_2yo,Ages_3yo,Ages_4yo,Ages_5yo,Ages_6yo,Ages_7yo,Cultures_None,Cultures_Brazil,Cultures_US,Cultures_UK,Cultures_Denmark,Cultures_Spain,Cultures_Mexico,Cultures_Canada,Cultures_Portugal,Cultures_Australia,Cultures_France,Cultures_Italy,Cultures_Germany
78,mycountry-yasmin-puzzle-1,6-pieces puzzle: Yasmin in my country,my-country,cultural,puzzle,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
79,forest-kevin-puzzle-1,6-pieces puzzle: Kevin's forest,forest,standard,puzzle,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
80,sea-yasmin-puzzle-2,6-pieces puzzle: Yasmin deep in the sea,sea-animals,standard,puzzle,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
81,veggies-poiki-hotspot-1,Where is? - 2 vegetables,vegetables,standard,hotspot,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82,toys-kevin-hotspot-1,Where is? - 2 toys,toys,standard,hotspot,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83,farm-wendy-hotspot-1,Where is? - 2 fruits,fruits,standard,hotspot,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
84,farmanimals-poiki-hotspot-1,Where are the farm animals?,farm-animals,standard,hotspot,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
85,seanimals-yasmin-hotspot-1,Where are the sea animals?,sea-animals,standard,hotspot,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
86,who-wendy-hotspot-1,Where are the furtniture?,furniture,standard,hotspot,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
87,farm-wendy-hotspot-2,Which fruit is this? - 4 fruits,fruits,cultural,hotspot,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
88,farm-kevin-hotspot-1,Which is the vegetable? - 4 plates,vegetables,cultural,hotspot,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
89,world-yasmin-hotspot-1,Which is the food? - 4 plates,foods,cultural,hotspot,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0
90,sharing-wendy-hotspot-1,Wendy shares her teddy bear,social-codes,SEL,hotspot,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
